Material,Nominal Diameter [in],Actual ID [in]
HDPE_DR11,1.25,1.34
HDPE_DR11,2,1.917
HDPE_DR11,3,2.825
HDPE_DR11,4,3.633
HDPE_DR11,6,5.348
HDPE_DR11,8,6.963
HDPE_DR11,10,8.678
HDPE_DR11,12,10.293
PVC,1.25,1.38
PVC,2,2.067
PVC,2.5,2.067
PVC,3,3.068
PVC,4,4.026
PVC,6,6.08
PVC,8,7.981
PVC,10,10.02
PVC,12,11.938
